"GHO","PUBLISHSTATE","YEAR","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS4_117","PUBLISHED","2017","WB_LMI","84","84.00000","","","","",""
"WHS4_117","PUBLISHED","2017","WB_UMI","93","93.00000","","","","",""
"WHS4_117","PUBLISHED","2018","WB_HI","78","78.00000","","","","",""
"WHS4_117","PUBLISHED","2018","WB_LI","75","75.00000","","","","",""
"WHS4_117","PUBLISHED","2018","WB_LMI","84","84.00000","","","","",""
"WHS4_117","PUBLISHED","2018","WB_UMI","93","93.00000","","","","",""
"WHS4_117","PUBLISHED","2019","WB_HI","91","91.00000","","","","",""
"WHS4_117","PUBLISHED","2019","WB_LI","76","76.00000","","","","",""
"WHS4_117","PUBLISHED","2019","WB_LMI","85","85.00000","","","","",""
"WHS4_117","PUBLISHED","2019","WB_UMI","91","91.00000","","","","",""
"WHS4_117","PUBLISHED","2020","WB_HI","90","90.00000","","","","",""
"WHS4_117","PUBLISHED","2020","WB_LI","74","74.00000","","","","",""
"WHS4_117","PUBLISHED","2020","WB_LMI","81","81.00000","","","","",""
"WHS4_117","PUBLISHED","2020","WB_UMI","90","90.00000","","","","",""
"WHS4_117","PUBLISHED","2021","WB_HI","90","90.00000","","","","",""
"WHS4_117","PUBLISHED","2021","WB_LI","71","71.00000","","","","",""
"WHS4_117","PUBLISHED","2021","WB_LMI","79","79.00000","","","","",""
"WHS4_117","PUBLISHED","2021","WB_UMI","90","90.00000","","","","",""
