Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Peru,PER,..,..,..,..,..,..,..,..,..,..,44.9972141,45.3841427,45.76726041,46.14702447,46.52303997,46.89492675,47.26354115,47.62810079,47.93691463,48.22034026,48.50277767,48.78343428,49.0631062,49.34102056,49.61757585,49.89316912,50.16703266,50.43955682,50.71340601,50.9881507,51.26412978,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,74.70600644,74.70480998,74.75710434,74.82038315,74.88738022,74.95423158,75.02093536,75.08748602,75.15388925,75.21985362,75.28595709,75.35191304,75.42166174,75.49484629,75.57196336,75.65238723,75.73632103,75.82369995,75.91418623,76.00770611,76.10420617,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Spain,ESP,..,..,..,..,..,..,..,..,..,..,99.36729485,99.36800125,99.40219261,99.43706881,99.47214779,99.50739611,99.54283642,99.57845986,99.6142686,99.63069694,99.63345982,99.6362087,99.62511622,99.59836982,99.5714797,99.57406482,99.57668029,99.57931146,99.58196193,99.58464321,99.58733342,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,99.37200864,99.39634929,99.42083307,99.44524109,99.46954581,99.49374939,99.51832817,99.54314008,99.56772435,99.59206824,99.61294153,99.63407845,99.65526047,99.6759453,99.69614993,99.71589037,99.73517728,99.75401968,99.75113444,99.75147263,99.75180105,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Thailand,THA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.23581292,95.24582727,95.2557833,95.2656829,95.27552413,95.46778236,95.65914859,95.84939996,96.03857024,96.22654489,96.41326821,96.59863984,96.78265168,96.96518791,97.14624349,97.32571774,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,100.0000033,99.99999835,100.0000016,100,100.0000033,100,99.99999679,99.99465655,99.97900544,99.96335275,99.94769852,99.93204432,99.91639618,99.90074048,99.8850878,99.86943807,99.85378537,99.83813267,99.82247997,99.82247563,99.82247708,..,..
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Vietnam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
