Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Philippines,PHL,1.3918999434,1.2745000124,1.3701000214,1.0710999966,..,..,..,..,..,..,..,1,0.5,..,..,..,1.07,1.05,1.04,1.06,1.06,1.07,1.05,0.99,0.99,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Peru,PER,1.4132000208,..,1.5,1.2999999523,1.3571000099,..,1.4700000286,..,..,..,..,..,..,1.3999999762,0.9,..,..,1.2,1.5,1.6,1.5,1.53,1.52,1.51,1.56,1.55,1.59,1.59,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Russian Federation,RUS,13.0552997589,12.7019996643,12.2342996597,12.1958999634,11.9611997604,11.8699998856,11.6300001144,11.3400001526,11.1099996567,10.8500003815,11.4,11.33,11.15,11.04,11.13,11.01,10.9,10.71,9.85,9.68,9.41,9.42,9.3,9.07,8.81,8.35,8.16,8.05,7.12,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Spain,ESP,4.5999999046,4.5999999046,4.5,4.4000000954,4.4000000954,4.3000001907,4.3000001907,4.1999998093,4.1999998093,4.0999999046,3.65,3.58,3.53,3.44,3.4,3.34,3.29,3.25,3.2,3.16,3.11,3.05,2.99,2.96,2.97,2.98,2.97,2.97,2.97,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..,3.1,..,2.87,2.8,..,2.41,2.39,..,2.3,..,..,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Sweden,SWE,12.3999996185,11.8999996185,7.5999999046,7,6.5,4.9000000954,4.4000000954,5.2,3.7999999523,3.7000000477,3.58,3.27,3.13,3.05,3.01,2.93,2.89,2.86,2.81,2.76,2.73,2.7,2.66,2.59,2.54,2.44,2.34,2.21,2.14,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Thailand,THA,1.6325999498,1.6612999439,1.7066999674,..,..,1.9900000095,..,..,..,2.2000000477,2.2,..,2.2,..,..,2.1,..,..,..,..,2.1,..,..,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,United States,USA,4.9000000954,4.8000001907,4.5999999046,4.5,4.3000001907,4.0999999046,3.9000000954,3.7999999523,3.7000000477,3.5999999046,3.49,3.47,3.39,3.33,3.26,3.2,3.18,3.14,3.13,3.08,3.05,2.97,2.93,2.89,2.83,2.8,2.77,2.87,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,United Kingdom,GBR,5.9000000954,5.5999999046,5.4000000954,5.0999999046,4.8000001907,4.8000001907,4.5999999046,4.5999999046,4.4000000954,4.1999998093,4.08,4.04,3.98,3.95,3.86,3.72,3.54,3.39,3.33,3.26,2.93,2.88,2.81,2.76,2.73,2.61,2.57,2.54,2.5,2.46,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Vietnam,VNM,3.8329000473,..,..,..,..,..,..,1.6699999571,..,..,2.34,2.4000000954,1.4,..,2.8,2.34,2.66,..,2.9,3.1,2.91,..,2.5,3.18,2.6,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
