,"Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Countries, territories and areas","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Cabo Verde","176.02","173.98","178.55","165.04","144.33","139.49","181.44","181.30","167.49","152.28","142.88","127.80","125.54","125.57","111.28","94.59","92.05","83.48","68.22","62.79","58.90"
"Cambodia","115.76","115.26","94.21","80.17","78.36","72.52","73.59","72.12","69.02","66.05","54.10","55.72","49.01","30.92","33.03","32.52","29.03","25.31","24.67","22.66","19.78"
"Cameroon","58.01","56.19","57.70","50.28","51.25","50.32","61.80","56.61","56.36","57.71","49.50","50.60","54.00","48.62","44.02","42.61","41.75","38.11","31.42","27.47","28.79"
"Canada","5619.42","5083.73","5052.68","4900.67","4668.24","4679.98","5231.95","5484.81","5541.58","5437.85","5096.12","4392.14","4491.23","4221.93","3788.69","3291.22","2916.25","2552.26","2149.38","2055.76","2001.67"
"Central African Republic","41.96","34.23","49.18","27.64","20.26","17.71","18.03","16.79","20.60","18.94","16.40","21.83","18.68","18.95","15.91","14.67","13.73","13.01","10.62","9.26","9.86"
"Chad","34.80","30.53","32.31","30.46","35.32","35.03","43.68","39.98","37.50","38.68","36.50","36.03","38.15","35.18","34.98","32.29","28.63","18.59","18.58","12.00","10.38"
"Chile","1278.18","1369.48","1457.27","1367.72","1179.73","1133.28","1150.06","1183.62","1081.46","994.67","870.71","738.28","726.74","649.92","571.90","500.87","427.44","349.78","322.87","326.97","356.74"
"China","583.43","539.62","504.80","440.59","398.79","393.78","363.01","329.78","285.31","239.75","189.34","165.29","134.21","98.88","82.79","73.29","64.54","56.79","50.16","44.57","42.99"
"Colombia","477.27","522.55","517.16","495.30","447.24","468.59","586.68","579.91","546.55","501.27","452.15","383.43","378.18","309.04","239.39","209.25","159.19","129.33","131.78","138.04","134.29"
"Comoros","80.82","77.80","74.44","74.52","63.15","60.87","84.27","81.44","76.77","80.95","69.09","69.43","73.74","69.88","65.71","67.78","70.50","63.82","51.06","45.25","47.50"
"Congo","80.81","58.90","47.68","52.68","54.67","57.68","71.48","72.29","71.69","59.84","54.86","48.93","63.79","42.22","36.17","31.10","27.68","21.65","17.09","20.42","17.45"
"Cook Islands","531.46","650.05","566.98","580.25","615.97","460.72","589.64","547.59","527.67","547.19","515.03","453.53","480.33","539.92","455.92","502.70","427.64","344.15","270.60","218.11","185.51"
